beta,E
0.300000012,0.844054132
0.301000012,0.848963974
0.302000012,0.853893551
0.303000012,0.858842695
0.304000012,0.863811228
0.305000012,0.868798965
0.306000012,0.873805714
0.307000012,0.878831275
0.308000012,0.88387544
0.309000012,0.888937993
0.310000012,0.894018711
0.311000012,0.899117363
0.312000012,0.904233711
0.313000012,0.909367508
0.314000012,0.914518501
0.315000013,0.919686426
0.316000013,0.924871015
0.317000013,0.93007199
0.318000013,0.935289067
0.319000013,0.940521954
0.320000013,0.945770349
0.321000013,0.951033945
0.322000013,0.956312428
0.323000013,0.961605476
0.324000013,0.966912757
0.325000013,0.972233935
0.326000013,0.977568667
0.327000013,0.982916599
0.328000013,0.988277375
0.329000013,0.993650629
0.330000013,0.999035988
0.331000013,1.00443307
0.332000013,1.0098415
0.333000013,1.01526088
0.334000013,1.0206908
0.335000013,1.02613088
0.336000013,1.03158068
0.337000013,1.03703981
0.338000013,1.04250783
0.339000013,1.04798432
0.340000014,1.05346885
0.341000014,1.05896097
0.342000014,1.06446024
0.343000014,1.06996622
0.344000014,1.07547844
0.345000014,1.08099645
0.346000014,1.08651979
0.347000014,1.09204799
0.348000014,1.09758058
0.349000014,1.10311708
0.350000014,1.10865702
0.351000014,1.11419991
0.352000014,1.11974527
0.353000014,1.12529261
0.354000014,1.13084143
0.355000014,1.13639126
0.356000014,1.14194158
0.357000014,1.1474919
0.358000014,1.15304172
0.359000014,1.15859055
0.360000014,1.16413787
0.361000014,1.16968319
0.362000014,1.17522599
0.363000014,1.18076578
0.364000014,1.18630205
0.365000015,1.19183429
0.366000015,1.19736199
0.367000015,1.20288466
0.368000015,1.20840178
0.369000015,1.21391285
0.370000015,1.21941737
0.371000015,1.22491484
0.372000015,1.23040475
0.373000015,1.23588661
0.374000015,1.24135992
0.375000015,1.24682418
0.376000015,1.25227891
0.377000015,1.25772361
0.378000015,1.2631578
0.379000015,1.268581
0.380000015,1.27399272
0.381000015,1.27939249
0.382000015,1.28477983
0.383000015,1.29015428
0.384000015,1.29551538
0.385000015,1.30086265
0.386000015,1.30619566
0.387000015,1.31151394
0.388000015,1.31681705
0.389000015,1.32210455
0.390000015,1.32737601
0.391000016,1.33263099
0.392000016,1.33786907
0.393000016,1.34308984
0.394000016,1.34829288
0.395000016,1.35347779
0.396000016,1.35864417
0.397000016,1.36379161
0.398000016,1.36891975
0.399000016,1.37402819
0.400000016,1.37911656
0.401000016,1.38418451
0.402000016,1.38923166
0.403000016,1.39425767
0.404000016,1.3992622
0.405000016,1.4042449
0.406000016,1.40920544
0.407000016,1.41414352
0.408000016,1.4190588
0.409000016,1.42395099
0.410000016,1.42881978
0.411000016,1.43366488
0.412000016,1.43848602
0.413000016,1.44328291
0.414000016,1.44805529
0.415000016,1.4528029
0.416000017,1.45752548
0.417000017,1.4622228
0.418000017,1.46689461
0.419000017,1.4715407
0.420000017,1.47616084
0.421000017,1.48075481
0.422000017,1.48532243
0.423000017,1.48986348
0.424000017,1.49437779
0.425000017,1.49886517
0.426000017,1.50332546
0.427000017,1.50775849
0.428000017,1.51216411
0.429000017,1.51654216
0.430000017,1.52089251
0.431000017,1.52521503
0.432000017,1.52950958
0.433000017,1.53377606
0.434000017,1.53801436
0.435000017,1.54222437
0.436000017,1.546406
0.437000017,1.55055917
0.438000017,1.55468379
0.439000017,1.55877978
0.440000017,1.5628471
0.441000018,1.56688567
0.442000018,1.57089545
0.443000018,1.57487639
0.444000018,1.57882845
0.445000018,1.58275161
0.446000018,1.58664583
0.447000018,1.59051111
0.448000018,1.59434742
0.449000018,1.59815477
0.450000018,1.60193315
0.451000018,1.60568258
0.452000018,1.60940306
0.453000018,1.61309461
0.454000018,1.61675725
0.455000018,1.62039102
0.456000018,1.62399596
0.457000018,1.6275721
0.458000018,1.63111948
0.459000018,1.63463817
0.460000018,1.63812821
0.461000018,1.64158966
0.462000018,1.6450226
0.463000018,1.6484271
0.464000018,1.65180321
0.465000018,1.65515104
0.466000019,1.65847066
0.467000019,1.66176216
0.468000019,1.66502562
0.469000019,1.66826116
0.470000019,1.67146886
0.471000019,1.67464883
0.472000019,1.67780118
0.473000019,1.68092602
0.474000019,1.68402346
0.475000019,1.68709362
0.476000019,1.69013662
0.477000019,1.69315258
0.478000019,1.69614164
0.479000019,1.69910392
0.480000019,1.70203955
0.481000019,1.70494867
0.482000019,1.70783141
0.483000019,1.71068792
0.484000019,1.71351834
0.485000019,1.71632281
0.486000019,1.71910148
0.487000019,1.7218545
0.488000019,1.72458202
0.489000019,1.72728419
0.490000019,1.72996117
0.49100002,1.73261311
0.49200002,1.73524017
0.49300002,1.7378425
0.49400002,1.74042028
0.49500002,1.74297366
0.49600002,1.7455028
0.49700002,1.74800788
0.49800002,1.75048905
0.49900002,1.75294648
0.50000002,1.75538034
0.50100002,1.75779079
0.50200002,1.76017802
0.50300002,1.76254218
0.50400002,1.76488345
0.50500002,1.76720199
0.50600002,1.76949799
0.50700002,1.77177161
0.50800002,1.77402302
0.50900002,1.7762524
0.51000002,1.77845992
0.51100002,1.78064575
0.51200002,1.78281008
0.51300002,1.78495306
0.51400002,1.78707488
0.51500002,1.78917571
0.516000021,1.79125572
0.517000021,1.79331508
0.518000021,1.79535398
0.519000021,1.79737258
0.520000021,1.79937105
0.521000021,1.80134958
0.522000021,1.80330832
0.523000021,1.80524746
0.524000021,1.80716716
0.525000021,1.8090676
0.526000021,1.81094894
0.527000021,1.81281136
0.528000021,1.81465503
0.529000021,1.81648011
0.530000021,1.81828678
0.531000021,1.8200752
0.532000021,1.82184554
0.533000021,1.82359797
0.534000021,1.82533264
0.535000021,1.82704974
0.536000021,1.82874941
0.537000021,1.83043183
0.538000021,1.83209716
0.539000021,1.83374555
0.540000021,1.83537718
0.541000021,1.8369922
0.542000022,1.83859076
0.543000022,1.84017303
0.544000022,1.84173917
0.545000022,1.84328933
0.546000022,1.84482367
0.547000022,1.84634234
0.548000022,1.84784549
0.549000022,1.84933328
0.550000022,1.85080586
0.551000022,1.85226338
0.552000022,1.85370598
0.553000022,1.85513382
0.554000022,1.85654705
0.555000022,1.85794581
0.556000022,1.85933024
0.557000022,1.86070049
0.558000022,1.86205671
0.559000022,1.86339903
0.560000022,1.86472759
0.561000022,1.86604254
0.562000022,1.86734401
0.563000022,1.86863215
0.564000022,1.86990708
0.565000022,1.87116894
0.566000022,1.87241787
0.567000023,1.87365399
0.568000023,1.87487745
0.569000023,1.87608837
0.570000023,1.87728689
0.571000023,1.87847312
0.572000023,1.8796472
0.573000023,1.88080925
0.574000023,1.8819594
0.575000023,1.88309778
0.576000023,1.8842245
0.577000023,1.88533968
0.578000023,1.88644346
0.579000023,1.88753594
0.580000023,1.88861725
0.581000023,1.8896875
0.582000023,1.89074681
0.583000023,1.89179529
0.584000023,1.89283307
0.585000023,1.89386024
0.586000023,1.89487693
0.587000023,1.89588324
0.588000023,1.89687929
0.589000023,1.89786518
0.590000023,1.89884101
0.591000023,1.89980691
0.592000024,1.90076296
0.593000024,1.90170929
0.594000024,1.90264598
0.595000024,1.90357314
0.596000024,1.90449088
0.597000024,1.90539929
0.598000024,1.90629847
0.599000024,1.90718853
0.600000024,1.90806955
