beta,Cv
0.300000012,0.286519031
0.301003356,0.28945219
0.302006701,0.292416087
0.303010045,0.295411239
0.30401339,0.298438183
0.305016735,0.301497471
0.306020079,0.304589677
0.307023424,0.307715394
0.308026768,0.310875236
0.309030113,0.31406984
0.310033457,0.317299867
0.311036802,0.320566
0.312040146,0.323868951
0.313043491,0.32720946
0.314046835,0.330588294
0.31505018,0.334006252
0.316053524,0.337464164
0.317056869,0.340962896
0.318060213,0.344503349
0.319063558,0.348086463
0.320066902,0.351713217
0.321070247,0.355384634
0.322073591,0.35910178
0.323076936,0.36286577
0.32408028,0.36667777
0.325083625,0.370538996
0.326086969,0.374450723
0.327090314,0.378414283
0.328093659,0.382431073
0.329097003,0.386502554
0.330100348,0.390630258
0.331103692,0.394815791
0.332107037,0.399060838
0.333110381,0.403367163
0.334113726,0.407736622
0.33511707,0.412171159
0.336120415,0.416672819
0.337123759,0.421243748
0.338127104,0.425886199
0.339130448,0.430602541
0.340133793,0.435395266
0.341137137,0.440266988
0.342140482,0.445220461
0.343143826,0.450258576
0.344147171,0.455384376
0.345150515,0.460601058
0.34615386,0.465911985
0.347157204,0.471320694
0.348160549,0.476830902
0.349163893,0.482446516
0.350167238,0.488171646
0.351170583,0.494010608
0.352173927,0.499967938
0.353177272,0.506048398
0.354180616,0.51225699
0.355183961,0.518598963
0.356187305,0.525079823
0.35719065,0.531705343
0.358193994,0.53848157
0.359197339,0.545414839
0.360200683,0.552511776
0.361204028,0.559779308
0.362207372,0.56722467
0.363210717,0.574855413
0.364214061,0.582679402
0.365217406,0.590704827
0.36622075,0.598940198
0.367224095,0.607394348
0.368227439,0.616076429
0.369230784,0.624995904
0.370234128,0.634162537
0.371237473,0.643586383
0.372240817,0.653277768
0.373244162,0.663247265
0.374247507,0.673505668
0.375250851,0.684063957
0.376254196,0.694933256
0.37725754,0.706124785
0.378260885,0.717649802
0.379264229,0.729519539
0.380267574,0.741745122
0.381270918,0.754337487
0.382274263,0.767307282
0.383277607,0.780664751
0.384280952,0.79441962
0.385284296,0.80858095
0.386287641,0.823156993
0.387290985,0.838155021
0.38829433,0.853581152
0.389297674,0.86944015
0.390301019,0.885735219
0.391304363,0.902467782
0.392307708,0.919637244
0.393311052,0.937240751
0.394314397,0.95527293
0.395317741,0.973725636
0.396321086,0.992587681
0.397324431,1.01184458
0.398327775,1.03147828
0.39933112,1.05146692
0.400334464,1.07178459
0.401337809,1.09240116
0.402341153,1.113282
0.403344498,1.13438795
0.404347842,1.15567513
0.405351187,1.17709491
0.406354531,1.19859392
0.407357876,1.22011411
0.40836122,1.2415929
0.409364565,1.26296336
0.410367909,1.28415455
0.411371254,1.3050919
0.412374598,1.32569764
0.413377943,1.34589138
0.414381287,1.36559078
0.415384632,1.3847122
0.416387976,1.40317155
0.417391321,1.42088508
0.418394665,1.43777033
0.41939801,1.45374699
0.420401354,1.46873789
0.421404699,1.48266993
0.422408044,1.49547495
0.423411388,1.50709065
0.424414733,1.51746136
0.425418077,1.52653881
0.426421422,1.53428269
0.427424766,1.54066122
0.428428111,1.5456515
0.429431455,1.54923981
0.4304348,1.55142165
0.431438144,1.55220178
0.432441489,1.55159402
0.433444833,1.54962093
0.434448178,1.54631341
0.435451522,1.54171017
0.436454867,1.53585705
0.437458211,1.5288063
0.438461556,1.52061587
0.4394649,1.51134848
0.440468245,1.50107083
0.441471589,1.48985272
0.442474934,1.47776619
0.443478278,1.46488469
0.444481623,1.45128228
0.445484968,1.43703293
0.446488312,1.42220976
0.447491657,1.40688447
0.448495001,1.39112681
0.449498346,1.37500404
0.45050169,1.3585806
0.451505035,1.34191773
0.452508379,1.32507327
0.453511724,1.3081014
0.454515068,1.29105259
0.455518413,1.27397348
0.456521757,1.25690691
0.457525102,1.23989191
0.458528446,1.22296379
0.459531791,1.20615426
0.460535135,1.18949154
0.46153848,1.17300052
0.462541824,1.15670294
0.463545169,1.14061758
0.464548513,1.12476042
0.465551858,1.10914489
0.466555202,1.09378201
0.467558547,1.07868064
0.468561892,1.06384763
0.469565236,1.04928803
0.470568581,1.03500528
0.471571925,1.02100133
0.47257527,1.00727686
0.473578614,0.993831408
0.474581959,0.980663499
0.475585303,0.967770793
0.476588648,0.9551502
0.477591992,0.942797989
0.478595337,0.930709889
0.479598681,0.918881184
0.480602026,0.907306788
0.48160537,0.895981327
0.482608715,0.884899198
0.483612059,0.874054633
0.484615404,0.863441746
0.485618748,0.85305458
0.486622093,0.842887148
0.487625437,0.832933464
0.488628782,0.823187576
0.489632126,0.813643586
0.490635471,0.804295678
0.491638816,0.795138128
0.49264216,0.786165325
0.493645505,0.777371779
0.494648849,0.76875213
0.495652194,0.760301159
0.496655538,0.752013789
0.497658883,0.74388509
0.498662227,0.735910282
0.499665572,0.728084737
0.500668916,0.720403975
0.501672261,0.712863667
0.502675605,0.705459632
0.50367895,0.698187835
0.504682294,0.691044382
0.505685639,0.684025522
0.506688983,0.677127638
0.507692328,0.670347245
0.508695672,0.66368099
0.509699017,0.657125639
0.510702361,0.650678085
0.511705706,0.644335332
0.51270905,0.638094498
0.513712395,0.631952809
0.51471574,0.625907596
0.515719084,0.619956287
0.516722429,0.614096408
0.517725773,0.608325575
0.518729118,0.602641494
0.519732462,0.597041955
0.520735807,0.591524827
0.521739151,0.58608806
0.522742496,0.580729675
0.52374584,0.575447764
0.524749185,0.570240491
0.525752529,0.56510608
0.526755874,0.56004282
0.527759218,0.555049059
0.528762563,0.550123201
0.529765907,0.545263707
0.530769252,0.540469087
0.531772596,0.535737904
0.532775941,0.531068766
0.533779285,0.526460328
0.53478263,0.52191129
0.535785974,0.517420391
0.536789319,0.512986414
0.537792664,0.508608177
0.538796008,0.504284538
0.539799353,0.500014387
0.540802697,0.495796651
0.541806042,0.491630289
0.542809386,0.487514289
0.543812731,0.483447672
0.544816075,0.479429486
0.54581942,0.475458808
0.546822764,0.47153474
0.547826109,0.46765641
0.548829453,0.463822973
0.549832798,0.460033603
0.550836142,0.456287502
0.551839487,0.45258389
0.552842831,0.44892201
0.553846176,0.445301124
0.55484952,0.441720516
0.555852865,0.438179486
0.556856209,0.434677353
0.557859554,0.431213457
0.558862898,0.427787148
0.559866243,0.4243978
0.560869588,0.421044797
0.561872932,0.417727541
0.562876277,0.414445449
0.563879621,0.411197951
0.564882966,0.407984491
0.56588631,0.404804527
0.566889655,0.401657529
0.567892999,0.39854298
0.568896344,0.395460376
0.569899688,0.392409223
0.570903033,0.389389038
0.571906377,0.386399352
0.572909722,0.383439704
0.573913066,0.380509643
0.574916411,0.377608731
0.575919755,0.374736536
0.5769231,0.371892637
0.577926444,0.369076622
0.578929789,0.36628809
0.579933133,0.363526644
0.580936478,0.360791901
0.581939822,0.35808348
0.582943167,0.355401013
0.583946511,0.352744137
0.584949856,0.350112496
0.585953201,0.347505744
0.586956545,0.34492354
0.58795989,0.34236555
0.588963234,0.339831446
0.589966579,0.337320909
0.590969923,0.334833622
0.591973268,0.33236928
0.592976612,0.329927578
0.593979957,0.32750822
0.594983301,0.325110917
0.595986646,0.322735381
0.59698999,0.320381334
0.597993335,0.318048501
0.598996679,0.315736612
0.600000024,0.313445403
