L,beta,R,G_standard,G_cluster
64,0.42,0,1.0,1.0
64,0.42,1,0.621982421875,0.6201229453649265
64,0.42,2,0.458416015625,0.4569697397547151
64,0.42,3,0.36532421875,0.3645833892243521
64,0.42,4,0.302767578125,0.30399039244249476
64,0.42,5,0.2587421875,0.2589268069069107
64,0.42,6,0.2237578125,0.2258033174535048
64,0.42,7,0.19768359375,0.19706680536592033
64,0.42,8,0.175017578125,0.17299324136868127
64,0.42,9,0.150693359375,0.15213589363697413
64,0.42,10,0.1295390625,0.1341987945732341
64,0.42,11,0.1112109375,0.11863052947614193
64,0.42,12,0.10013671875,0.1050577366231117
64,0.42,13,0.08905078125,0.09270389100459346
64,0.42,14,0.081279296875,0.08230728690201189
64,0.42,15,0.07332421875,0.07333435216211313
64,0.42,16,0.0671484375,0.06545902128255882
64,0.42,17,0.060591796875,0.05895760230435772
64,0.42,18,0.054669921875,0.053393994421356686
64,0.42,19,0.052326171875,0.04833267967256305
64,0.42,20,0.05294140625,0.04363073795429797
64,0.42,21,0.049201171875,0.03935326127768628
64,0.42,22,0.04371875,0.03564377785926154
64,0.42,23,0.039091796875,0.03269303912949952
64,0.42,24,0.031796875,0.030077780707551207
64,0.42,25,0.029525390625,0.02785342831417793
64,0.42,26,0.02669921875,0.026003068845991906
64,0.42,27,0.025869140625,0.024539892551235055
64,0.42,28,0.027810546875,0.023580580283542187
64,0.42,29,0.029390625,0.022831376029484127
64,0.42,30,0.029,0.02218795133184797
64,0.42,31,0.03221875,0.021744952502930612
64,0.42,32,0.036806640625,0.021563497631514716
64,0.4,0,1.0,1.0
64,0.4,1,0.546369140625,0.5556811676645922
64,0.4,2,0.355625,0.3655004113295215
64,0.4,3,0.258662109375,0.25826322760758286
64,0.4,4,0.191150390625,0.19070737928292017
64,0.4,5,0.1421171875,0.14815028889539403
64,0.4,6,0.111650390625,0.11777962360634596
64,0.4,7,0.0893046875,0.09474866040452047
64,0.4,8,0.0690234375,0.07557308359140007
64,0.4,9,0.060923828125,0.060619407363130796
64,0.4,10,0.048255859375,0.048850081327880365
64,0.4,11,0.040927734375,0.0397538489150008
64,0.4,12,0.02669140625,0.03252299600267254
64,0.4,13,0.030060546875,0.026632668674110304
64,0.4,14,0.038234375,0.02190592614963707
64,0.4,15,0.029658203125,0.01781408294202901
64,0.4,16,0.02354296875,0.0143745580901768
64,0.4,17,0.02062890625,0.011598683613561823
64,0.4,18,0.02397265625,0.009523884848698646
64,0.4,19,0.023158203125,0.007670050906237033
64,0.4,20,0.027353515625,0.006090639443878674
64,0.4,21,0.02315234375,0.004835378155163582
64,0.4,22,0.019744140625,0.003632588198610239
64,0.4,23,0.025892578125,0.0028733247417602296
64,0.4,24,0.034103515625,0.002272649806115055
64,0.4,25,0.02720703125,0.001765963246184105
64,0.4,26,0.0293359375,0.0014017902841761854
64,0.4,27,0.022884765625,0.0010926244486538954
64,0.4,28,0.027734375,0.000827604324083238
64,0.4,29,0.021556640625,0.0006618215652536385
64,0.4,30,0.02151953125,0.000563660863008628
64,0.4,31,0.02542578125,0.0005139858964525743
64,0.4,32,0.0243125,0.0005062678781802608
64,0.35,0,1.0,1.0
64,0.35,1,0.42666015625,0.43583845339147004
64,0.35,2,0.22431640625,0.21822428245158937
64,0.35,3,0.136169921875,0.1258553505029681
64,0.35,4,0.08428125,0.07669414682909484
64,0.35,5,0.053953125,0.04633020939522982
64,0.35,6,0.02915234375,0.028416864895935524
64,0.35,7,0.03923046875,0.01855824745037201
64,0.35,8,0.029048828125,0.013002637001137364
64,0.35,9,0.019125,0.008365326978167461
64,0.35,10,-0.0012890625,0.005311282837736326
64,0.35,11,-0.006046875,0.0033577612271285203
64,0.35,12,-0.01438671875,0.002282655172277087
64,0.35,13,0.002376953125,0.0018269940311631673
64,0.35,14,-0.016234375,0.0012450791474515237
64,0.35,15,0.003134765625,0.0008208232203077565
64,0.35,16,0.002177734375,0.0005276155688526822
64,0.35,17,0.013732421875,0.0002869936478183901
64,0.35,18,0.00526953125,0.0001228782672081641
64,0.35,19,-0.020353515625,6.143913360408205e-05
64,0.35,20,-0.012298828125,4.0820576903051134e-05
64,0.35,21,-0.022732421875,0.0
64,0.35,22,-0.01311328125,0.0
64,0.35,23,0.004013671875,0.0
64,0.35,24,-0.00068359375,0.0
64,0.35,25,0.003388671875,0.0
64,0.35,26,0.01142578125,0.0
64,0.35,27,0.010845703125,0.0
64,0.35,28,0.00914453125,0.0
64,0.35,29,0.012455078125,0.0
64,0.35,30,0.012392578125,0.0
64,0.35,31,0.01399609375,0.0
64,0.35,32,0.00027734375,0.0
64,0.3,0,1.0,1.0
64,0.3,1,0.343666015625,0.34284299812363583
64,0.3,2,0.130943359375,0.12342263345371839
64,0.3,3,0.04590234375,0.04893115753448642
64,0.3,4,0.004625,0.020806975907051183
64,0.3,5,-0.009267578125,0.00836138834940871
64,0.3,6,0.002287109375,0.004086363170616377
64,0.3,7,-0.004796875,0.0017889577204392617
64,0.3,8,-0.003630859375,0.0009782079050737074
64,0.3,9,-0.00219140625,0.0003960952183458577
64,0.3,10,-0.013044921875,0.00017805383022774325
64,0.3,11,-0.01375,0.0
64,0.3,12,-0.021833984375,0.0
64,0.3,13,-0.016017578125,0.0
64,0.3,14,-0.012826171875,0.0
64,0.3,15,-0.002576171875,0.0
64,0.3,16,-0.00746484375,0.0
64,0.3,17,-0.024646484375,0.0
64,0.3,18,-0.0333828125,0.0
64,0.3,19,-0.01150390625,0.0
64,0.3,20,-0.013041015625,0.0
64,0.3,21,-0.01470703125,0.0
64,0.3,22,-0.019765625,0.0
64,0.3,23,-0.006546875,0.0
64,0.3,24,0.0031640625,0.0
