L,beta,energy,energy_per_site,specific_heat,susceptibility_standard,susceptibility_improved,mean_cluster_size,ratio_mean_cluster_to_chi_beta
8,0.0,-1.446741666300179,-0.022605338535940298,0.0,0.0,0.0,1.0,
8,0.05,-7.189253303622011,-0.11233208286909392,0.0013097277002853628,0.05954773344652965,0.05681460080540132,1.105,0.9724612901750324
8,0.1,-7.552854089204073,-0.11801334514381365,0.005089282996454393,0.2822595538024663,0.13076455846796092,1.24,0.9482691751708983
8,0.15000000000000002,-7.136630975148937,-0.11150985898670214,0.012859837995256739,0.24892933550754753,0.1933028559263999,1.25,0.9699804956393955
8,0.2,-9.92982949933347,-0.15515358592708547,0.02348045028712521,0.39298370268586374,0.3148312982553632,1.465,0.930657153922303
8,0.25,-21.90491230446618,-0.34226425475728406,0.06767715296349441,0.3766962908801353,0.41582062628113226,1.585,0.9529349314483001
8,0.30000000000000004,-16.638634708544146,-0.2599786673210023,0.048540276340084995,0.5388884556020467,0.6135352523884877,1.81,0.8850347194983589
8,0.35000000000000003,-26.1457832061865,-0.40852786259666407,0.0856582670866519,1.0082983545934503,0.7344861803452716,1.955,0.9316036411717696
8,0.4,-20.90253200788381,-0.32660206262318453,0.13523307001906604,1.1000814342532548,1.1299479820715232,2.415,0.8549066110362364
8,0.45,-34.80795677475772,-0.5438743246055894,0.1919876541599687,1.9704180828184028,1.8651124038430267,3.46,0.8348022332551286
8,0.5,-38.15459624830397,-0.5961655663797495,0.2759786041443091,2.1104012284285587,2.1611816862476276,3.77,0.8722080202673054
8,0.55,-43.72278653775141,-0.6831685396523658,0.40312909572340694,2.9773103010704887,2.9320565167775583,4.6,0.8628755910819095
8,0.6000000000000001,-46.340787614452026,-0.7240748064758129,0.6855502159724244,4.449929248703946,4.831254178153945,6.615,0.8215258095811018
8,0.65,-46.31815621235783,-0.723721190818091,0.5988905874278361,5.3274404798488355,5.80353835507299,7.425,0.8316047391642165
8,0.7000000000000001,-55.819115024728,-0.872173672261375,0.4341780444548292,8.073799655943828,6.90608531628578,8.35,0.8463550234771136
8,0.75,-59.02827283343502,-0.9223167630224222,1.4339209572956522,11.519062567712705,12.645521948030252,13.61,0.8072027427535314
8,0.8,-70.10568780834733,-1.095401372005427,0.8848573858891179,16.74201281126063,18.034200283578112,18.52,0.8215501528776635
8,0.8500000000000001,-75.94189504582735,-1.1865921100910524,0.6214383560482474,21.594566951456297,21.716283586292995,20.95,0.8200067902612875
8,0.9,-80.16009193173633,-1.2525014364333802,1.7017883405108059,28.32479168581239,29.097163434811577,26.33,0.8144092826467451
8,0.9500000000000001,-81.459480002165,-1.272804375033828,1.1011445792530024,29.23970200007974,30.818885342307368,26.48,0.8162527528361481
8,1.0,-86.9953513492749,-1.3593023648324203,1.0030062154264954,33.89072494000985,33.4747733950571,27.56,0.8233065441473465
8,1.05,-90.71756125113578,-1.4174618945489965,0.6087266319125615,38.46948286131639,33.59907284841887,26.77,0.8365855845728418
8,1.1,-90.41373139236279,-1.4127145530056686,1.219000669498015,41.528583240256815,43.1849929984363,31.82,0.8105130409831814
8,1.1500000000000001,-94.38253233385454,-1.4747270677164772,0.6728188932079439,45.63645486891427,47.58640705344915,34.17,0.8257715266433799
8,1.2000000000000002,-94.39522232052985,-1.474925348758279,0.9785322545146803,49.5448876287274,48.2553911568821,32.595,0.8105622825196317
8,1.25,-99.5723088798215,-1.555817326247211,0.5954812704178192,54.344792124343286,53.881332408603406,35.005,0.8120855228333831
8,1.3,-98.99133902174013,-1.5467396722146896,0.5373071108938234,57.84663377255774,61.78241570737873,38.665,0.8135729143073449
8,1.35,-101.62055732547331,-1.5878212082105205,0.7088760097812866,61.580717753028146,56.15143387897483,34.665,0.8334203913806519
8,1.4000000000000001,-99.9235081104052,-1.5613048142250812,0.8904055283443417,61.81533229157939,70.89346651533019,41.25,0.8146025697235725
8,1.4500000000000002,-103.57040914632366,-1.6182876429113071,0.5828018775338892,66.44046506081983,68.51358988699972,38.745,0.8199869557654
8,1.5,-102.92602082620607,-1.6082190754094698,0.7913166483902145,67.24137504631932,72.53354696100197,39.325,0.8132443878928867
8,1.55,-104.20425445280164,-1.6281914758250255,1.0971342121523913,72.32088454747691,75.44887532097071,39.015,0.8015129416142762
8,1.6,-108.67665176213613,-1.698072683783377,0.450459867807731,80.25841535961933,87.14577632512685,43.155,0.7923275563280663
8,1.6500000000000001,-106.41464963335035,-1.6627289005210992,0.553549433116461,79.90764212615392,84.30782314347718,41.545,0.8130829078974221
8,1.7000000000000002,-108.01770642061379,-1.6877766628220905,0.5549186676563819,84.24296343464596,80.5888173657231,39.21,0.8271246827894422
8,1.75,-108.65587702820658,-1.6977480785657277,0.540467801790701,85.10569333081732,93.0024149993705,43.145,0.8118471977368659
8,1.8,-108.13723411985738,-1.6896442831227716,0.5583495272386187,88.37246456568919,88.79802023467482,41.265,0.836471351542537
8,1.85,-108.45575827744908,-1.6946212230851418,0.48042391241662596,92.33014025474321,93.57046142418629,42.275,0.8358273413385608
8,1.9000000000000001,-109.0349928600539,-1.7036717634383423,0.5439346346469407,95.68412820635028,92.12151022573505,39.88,0.8225223383152088
8,1.9500000000000002,-110.12800350488762,-1.720750054763869,0.665568281774292,97.21608779415261,96.85746009939054,42.15,0.8485923532958427
8,2.0,-111.24489650327946,-1.7382015078637416,0.7337430572872563,103.08920181017706,103.3343876665328,42.61,0.8247012628072159
24,0.0,-30.99644626626606,-0.05381327476782302,0.0,0.0,0.0,1.0,
24,0.05,-51.16752523473337,-0.08883250908807877,0.00016343078468766792,0.028315452541095274,0.05539602092168673,1.045,0.9432085397228394
24,0.1,-52.85576089303235,-0.0917634737726256,0.0021235224481041355,0.309790611896371,0.11856554129643398,1.12,0.9446252155167159
24,0.15000000000000002,-93.49150130337271,-0.1623116342072443,0.0021884226004662117,0.7128770451097552,0.2049666394220228,1.335,0.9769882580144601
24,0.2,-118.88035984975957,-0.2063895136280548,0.004964725608204946,0.28598178295217525,0.3352218248898228,1.49,0.8889635992463902
24,0.25,-143.71656245979858,-0.24950792093715032,0.002784398654729298,0.1979854968885881,0.45236855309459245,1.61,0.8897612295252436
24,0.30000000000000004,-203.60562581579867,-0.35348198926353935,0.009823642088937278,0.12787623522121913,0.6543156739714833,1.96,0.898648807281402
24,0.35000000000000003,-220.882210824567,-0.3834760604593177,0.017208475792798453,0.6400767739677442,0.7032113496123694,1.915,0.9531273924538638
24,0.4,-277.77418374376083,-0.48224684677736257,0.021701116933331332,0.7242026375717575,1.1250106121937338,2.4,0.8533252838637952
24,0.45,-273.5020442430392,-0.4748299379219431,0.13689290280467958,0.6087133004409294,1.6226638996893175,3.08,0.8541510045705522
24,0.5,-324.0014447502675,-0.5625025082469922,0.09738829116980696,2.3580831816737846,2.3316724367075983,3.905,0.8373817733836564
24,0.55,-315.41301614968893,-0.5475920419265433,0.043106588422542266,2.799514460385768,2.2063956650811276,3.51,0.8749563963311254
24,0.6000000000000001,-399.56611389537903,-0.6936911699572552,0.07938430410149523,2.4392587284907576,4.29291724430906,5.89,0.8232164281025626
24,0.65,-411.6324605183629,-0.7146396883999356,0.10881743060009828,7.896757616315251,5.190769322774506,6.57,0.8227104181384398
24,0.7000000000000001,-483.2784372943564,-0.8390250647471466,0.34481952755834305,9.968959065134847,7.264109399393749,8.705,0.838850251967372
24,0.75,-524.6059478261786,-0.9107742149760045,0.5203519908308749,14.322715126166438,12.286589645741795,13.445,0.8207118729235625
24,0.8,-596.69683506856,-1.035932005327361,1.3757948879386663,35.74310276922377,26.1045362092448,26.855,0.8229987243516528
24,0.8500000000000001,-628.4367823098706,-1.091036080399081,1.359847712923619,43.150335070406705,49.588468838942084,47.385,0.8122301604192721
24,0.9,-676.6749062500321,-1.1747828233507502,1.2859769825524838,75.86733132755938,86.09854464531874,77.81,0.8133586959975118
24,0.9500000000000001,-723.1688913024828,-1.2555015474001439,0.8269108038846913,132.62957162577248,133.47476293949612,114.445,0.8145566068492202
24,1.0,-766.0592280724642,-1.329963937625806,0.7866752791117808,195.3020129176685,195.04367591045065,158.885,0.8146124156978461
24,1.05,-798.7647023788418,-1.386744274963267,1.6569473455101116,247.17275273931682,265.8236746136118,204.16,0.8064293005940678
24,1.1,-820.0887438903455,-1.4237651803651832,0.9574748872239275,288.0613927938444,276.64005724306486,205.39,0.8166893914480776
24,1.1500000000000001,-842.1577277965424,-1.462079388535664,1.1455132609988663,323.3572254430316,317.60625760719495,224.105,0.8114473308606552
24,1.2000000000000002,-865.2347630606082,-1.5021436858691115,0.888237937957165,361.7905343617931,344.5892253449812,233.425,0.8128809010774246
24,1.25,-875.5507747485518,-1.5200534283829024,1.16825976573125,393.6262332742247,393.087129376984,255.695,0.813098995397213
24,1.3,-903.1152853403106,-1.5679084814935949,0.6613829438745435,430.78776432990986,413.29302456410784,258.4,0.8127889415851823
24,1.35,-908.7926383391864,-1.577764997116643,0.7378738553949962,451.73504569153073,495.1796513581655,300.28,0.8186483408357756
24,1.4000000000000001,-917.0097758569957,-1.5920308608628397,0.5973581579798177,487.6525688900802,505.9621540212423,295.17,0.81673697670014
24,1.4500000000000002,-929.0299124712654,-1.612899153595947,0.6253804350117168,525.2013894138277,498.63866078421,280.56,0.8158452843592312
24,1.5,-936.7361557628461,-1.6262780481993857,0.7804976104653178,536.0112048274365,544.3629596229931,302.36,0.8331573483877486
24,1.55,-944.4105541549943,-1.6396016565190874,0.49840550355724045,568.5387802969113,585.9864700830606,306.985,0.8120097891211618
24,1.6,-952.3956294698997,-1.6534646344963537,0.5570400792520701,609.8730776081428,591.1983534767915,302.15,0.8177289350637176
24,1.6500000000000001,-963.9360602558596,-1.6735001046108673,0.3293996705628388,636.0966480775894,671.7458048077141,332.435,0.8165555275138817
24,1.7000000000000002,-961.1353230607998,-1.668637713647222,0.5024587493844169,646.3880087376718,672.0734106895151,327.56,0.8285582960776512
24,1.75,-975.0527435009873,-1.6927999019114361,0.38416303371870225,704.6966623221163,723.899396500689,332.86,0.8046767310703865
24,1.8,-981.9896531780781,-1.704843147878608,0.4478439917034848,735.4212984349446,767.1171802133086,354.485,0.8317803543685127
24,1.85,-987.1708623610034,-1.7138383027100754,0.7314911977923516,770.038392974856,724.8157393750467,319.87,0.8164274971598009
24,1.9000000000000001,-985.1460118585616,-1.710322937254447,1.32988348099318,800.2742309576819,666.7293840374805,292.945,0.8348147139240389
24,1.9500000000000002,-994.6647913749191,-1.7268485961370124,0.5343797999204664,804.7053614974983,816.642113250495,339.035,0.8095568906782673
24,2.0,-990.317452990636,-1.7193011336642985,0.585027195089626,834.9979051936482,741.3580651236189,305.22,0.8234077819038919
