L,q,beta,specific_heat,energy,mean_cluster_size,cluster_sizes,sigma_cluster_size
128,2,0.43627992557467377,0.41048624825624724,-27486.486666666668,1877.8,"[  477   362  2736   224     3   117  4518  4240     1  2295     1  4865
    10  7205   304     8    18  6871     5  8060  9066  5904  1480   841
    52     1   697   342     2  2020    58   149     1   510     1   629
   851  1821   576    21   924  5161    43  1101   273     3    72   119
   838   737  4355  1342    25    79   209    24     1  4261   898  4693
   527  1491  1626   273  1969     1   271  4895  1255  1443    77  1999
  1295  3748   646     4    28   162   120  5851   575     2  5324   371
     1  7807  5001  3207    70     1  3070  1531    61  1080  7538   213
     1    78  7625     9     1  6106     1    10  5571    49     1     1
  4683   329     9  2080   188  6709     3   597    24  6983  4376  5800
     1  9017  9884  8765    13   121  4458  3886    19   168    22   284
     2  1884  7125 10667 10167    36  9525  9324     2  9247  9435   140
  7020   204     2   865   601    56     3  5569    18  8635     2     2
  6831  1150   407   216  3728  5804     1     2     8     2    53     1
     5     1   495  1168  7143     8   910     2   238  7107  7667  1119
    12    31  5184   146  4564  4516   702    34   801    55    17    75
    27  6686  6437    24  6302  6285   975   254  5951     6     1    85
  4461  3434  4179  6380  3140  3578   351  6078     1    37  5352  4640
   232   801     9  1433  3431  2227   400   483  3957   535  1720  3747
   175   659  4186  6068    15     5  2264     1   216  1450     3     7
  1433  3114    25  2171    64   903   879   931     5  4220     6  4137
    83  2896    78   689  4074    45  4426     1  2684   257    15     1
  1774     6    13    19    77    12   195     4     6    79    92  2243
    23    47   230  3419   105   157     1    27    72   168  6377     3
  2032     6  1315   296  4554  1880    16     1   929     2   691     5]",225.0887223345165
128,2,0.431873057639576,0.3490266706599658,-27123.586666666666,813.5133333333333,"[1605 1034   38    1  199    1  489   40    4  568   21    4  159    1
   51    1  209  252    1    1  575 2531  159    5 5466 1980 1904 3768
  144    4 1590  530    3 3577 1771   12 2769    1 4316    2    1  400
   46  280    1   11 1826 4669    2  817 2011    3  167 4937    2    2
 6203 5764    4  197 4128 1468  658    1 1341   77    1   76  672    7
   89    1    1  139  710 1349   29    4 2697 6197 1095 3915 3697 2721
    1 1429 3276  865 4140    3 5866   19    1    1 5264  196  373   43
    1    1  736    5    5    3 5022 2093  188 3918  269    1  207   17
    1  114  236  204  615  227   58   19  309 3262   11  482    4 3589
    8   39  592    1 3178    2 1987 3130  229    1  144   72    1  147
  257    2   10   55    1  119   47 2414  308  157   30   16  394    1
 2901  212   35    2  160  851 3028    1   38  147   89    1 1169   22
  199    1  322   61  303    1   68   70  117    1  729   75   54  332
    2 2468   37  212    1  119 1621  228    4   12  101   96    4   18
   10  175    1    2  538   43   60   60  702  381  327  286    4  110
 1686    2  496 1414    1 2678  163 1353    1    2 1872    4    8  923
   89  906  256   12 1257   28 4451   12   55   10   26 1289  361    1
  369    1   46    1  167   25   16    4   72  101 1180  946   51 1494
 1461 3222   10  258 1078 1167 2003   68 3309   12    1 4008    7    2
    8    2 1835  276 6202 5677 1161  108  239 2203  133 1643    1    6
  190 1440 3963    1  120 3371   15 2732 1051  127  143   39    1   95
  119  279  679    1  208  322]",116.64841025429982
128,2,0.4274661897044783,0.41693908472138586,-26740.566666666666,381.8066666666667,"[  21  946    2    5   13    2  221  346  910    1   50    1   92    1
   93 1353    3    4 1656    2   14  170   67   81   28  156  308  125
   70    1   20  182  564  716    8  258   10  267  854  687    1   11
    9   88  990  163   17    2  266   32  130  987   75 1599 1228    2
   79    6 1437 1270  630    1    1    1  312  258  331    4    1   20
    1   83 1164   88   19  290    1 2018  653   75    3  190  286    4
  498    9 1835  139  324  694 1612    2  412   19   61 1212  355  127
   24    8    4    7   33  168   25   73   40   88   51  922  269   70
    6    4    8 1373  521   99  226    2  106    2    9   18  819    1
  148   39    9   66  481  259    4   28  165    1  420 1271   12   45
  326  214  359 1236  539   27    2  162   44  317  312   19  265   31
    2    1    6   38  242   40    1    2 1644    2    5  855  752    5
  394  442   46  234  456    1  200   13    1  453  319    8 2400  281
  374 3473 2729   18  431  823 1133  289    1   47  211 1723   10   81
  134 1023  927   53   62  437  846    5   26  135    1 1274    5  105
    1    8    4 1140    7  691  407  470   49  856  231   29 3110  173
  997  218 1064  396   72  831  399   68   11 1247  177  233    8  617
    2    1  415  373 2770   17    2   75   14   13 1228 1605 2565   89
    1   19    1    1   43  273  275  835    1   19  104   26  579  285
    1    2  117   35  382  153  452 4240   13   12   41    1    5   81
    1  333 2914  141 1611  768  511   41    2  252  533  128   26    5
   29 2287  208  776 2419 1448]",40.42930524336943
128,2,0.4230593217693806,0.30949122806150164,-26475.126666666667,243.79333333333332,"[ 213 2152   81    3    6   10    2  784  183   92    1    1  782  186
   14    9  234    6   13  365    7  330   56  724   16  813   30   46
   75    2  345   52   73   48   20   78    4  296  350   55   15    4
    3  614    1    9    3  328  494    1    1    1  102  186    8    1
    1    6  467   34   50    1   35  169    3   34    3    2  116  606
   11    1    5   37 1401    1  197    2    1  420 1000    3    2    7
  295   32   51  923   10 1207    2  219 1290   10  185  153    2    3
  147   57  114    1  139  123  213    7  137   43  832   99    4  782
   29  105 1073  707  797    1  126  724    1    7   73  177   16  208
    2   50  408  674  145  340    1    2    2  201  210   16    2    1
   10    4  540    1    4  724  291   17  373  503  229  226 1111    2
    1   10    6 1393    1   24   98  456  430   43 1063  781   93  366
    1    8    1   23    1   38   75   66    7   31   65  519    2  168
  808  445 1017   64   22   11  175    2    7   64  868   38 1315    2
  574    7    6    3    1   16 1406  177  525  193 1160    1    1    1
  869   61  188    2  141   35   57  633    1    4    1    1 1123  159
    2   51   61  761    9   38   19 1169 1669   40    7 2033    7    1
    2   56 1463  241   24    1  148  866    9    2    1    9    6    1
  420    3    3  136    1 1522   44   49   12    2    5  375   82   69
 1390  633  477  289    1   27   24   18    9    2 2124 1471  718 1358
  309   88   44  218  240   25    6    5   21   14  349   38   33   67
    1   27  221  507  249  606]",24.747599144269035
128,2,0.4186524538342829,0.17969453386507223,-26163.286666666667,161.08666666666667,"[   1   44    1  229   14    1    1  247   25    1  102    5  603    4
   95    1   20  122  231   47    7    5    1   33   12    4   57   48
  601  226    1  148   44  162    1   18   35   62   63    1  829   11
    8   20  278    1  116  142   65   99    1    2    1  101 1028    1
  214    1   53    3   29  216  307   42   86   80    2  144  430  669
   15    7   13  114    2    2  705  540    8    1    1    8    8    2
    4 1000   12    6  534  190    1    1   81   15   20    3    1   55
    3  135    1   20    1    3    1   61   69    2  144   69    2   93
    2    1   21    6  628  292    1   95   89  266   44    1  408  292
   31   71   17   30  593    2   29   34   87  295  517   23  140    3
   76    1    1  864    2    2   43    5  230   65    5   18   52    3
  969   60  275    7    8  612  102  252   89    6  154  678    1    9
    8   13  188  161  585  141  241 1162   72    6   43   11    1   36
  187   37   10    8  169  599  824  171    1    1    8  410    5   77
  264   20  467    1    2    2   84   29    2   32 1286  127   26   25
  451    1    4  124    4  138    2  161    3   79    1    5    2   35
   66  127    4   50    3    2   17    1    7 1547 1399 1514  185   92
   34  379  136  661    4  193  254   53  496  199   87  783   10  569
  118    3    7 2413  141    4    2    6    2   47  230  139   16   54
  922  217 1075    1  336  289  913   76  320    1    1   20   41    1
  108  267   63   10  659   57  220   86    7    3    2    1   34    5
  186  421   80    1  217  218]",18.66873932289898
128,2,0.41424558589918514,0.1861753277102434,-25952.52666666667,129.02666666666667,"[   2    2  152    1    1  172  683   27    1  185  386   96  258  899
    1    1  397  451   18   28    6    2   36   20  340    6   12    1
    1  634   20 1362  187   85    2   41  678   95  175   30   24    2
    1    1   80    4  214 1158   79  223   23    2    2    3    2  196
  248    2    1    7    2    1    2   86   12   61    4    2    8    5
   31  523   55    3    1    1    5   67   80  128   42   36  270   79
   72    1    1   47   27   17  267   85  697    1    6  123   12   20
    2   10  344   76  113    8    1    1   14  174   11    2   17    1
    4    4   43   51    1   15    5   14  109   20  284   13  500   48
    1    2  101   10    4  160    5  101  359    4    1  381    1  162
  279  409   77  175  160    2    2   23   29   14    1    1  101   55
  455   60   44  213  278    1  170   52    1  218    7   46   13  262
    6    1    1  262  105   16  151    1    1    4  118    2  357  175
    1   94    9  133    9  345   55  248   49   10    3    1    6  351
  605  253    1  328  107    1  332  438    4   12    1    1  386   57
  633    2   49  477  207   16    8  421  245  104  657   66    1  324
   13    2 1771    3   93    5  333   55    1   78  228   13    1    1
  220    3  311 1159  126  176   11    3   53   16  263  385    1  150
  348   75    1   18    1  112  144  798    5  307   20    1    1    9
   12  103   63  695  133  229   10   20    1   42    1    3   11   23
   46  211  271   73   91   33  235  458  107   20    6    4   11   19
   43  762  236  179   21    1]",12.96763595325981
128,2,0.40983871796408744,0.08601794686894798,-25561.373333333333,87.23333333333333,"[  32    3   55   36    1   18   81   34  199    2  268    8    5   69
  231    1  238    4   46   97   21  133   26   58    6  149  604   16
    7    2   65  184    2  177    3   14  456    1    7   19   74  111
  100   79    9 1027  128    3    1    1   27  177  306   34  118   29
   40  173   12  377  367    2    3    7    1   34   54    5    4  169
    8   26   27   16    1    1   30  318    1   26   92   60   32    1
    4  598    6  263    1   25   52  374  171    1   13   10   48    2
    1  199   10    3   42    1    1    1   65  362  252    3   19  141
    6   22   27    2   13    5    2   65  325    1  220    5   25   44
   37  104  124    2    1    6    9    3  947  145  213    3    1  172
   23    4  137   22   30  887  308   47  219   26   37  255    2    2
    1  738    7   12  236  153    2  171   95  150   53    3    5   32
    1    1   18    1   15    3  566   40    9    1    7    1   19  263
  147  408    1   46    3    1    1   11    7  155   10   15   69    9
  172   69    8   27    4  387   16   69   26  154  236   90   44  150
   21  121  320   30   54   25   14   19  150  115  550    1   16   70
    1  231   33    4    2  181    3  185   56    5   50   39   17   20
    5  144   76  145   37  238    3    4    1    7    1    6   38   53
   24  208    2    3    2    1   76   32   65  101   85   16  279   18
    5  116    6  211   10    2  148   13    5  285    4  153    7  401
  229    4   89   18   16   14   10   29   44   54    5   17   12   96
    3   41    5  401   67   24]",7.83244783059243
128,2,0.40543185002898974,0.2662908895048222,-25032.08,70.14,"[  1 432  26 100  24  10  16 301 210 244   1  28  46  32   6  24   3  62
  34  34   9  52 182  22 194   3  13   2   1  16   7   5  29  12 456  32
 182  28  54  11  72   2 270  13   5   1 125  50  85   1 130   4  18  32
   5  85 343  46  12  74   3   8 125   9   3  12 140   1   1  38   1   7
   1 140 110  22  66  12  46  37   6 395   1  28   8 215   1   8   1   6
   9  32  53  10   1  18  73  10  32   8 159  41  34  40  19   2   7  71
   8  81 184 136  39   2   3  15  20  35  13  32 129  12   1   2   2   7
 406   1   2  13  54   1 266  28 182  29  79   1 207   1   2  85   3  79
  35  15  16 146   1  11  17 284   2  30   1 219  38  44  41   6   1  10
  18  30 108 100  44 299 111 118  77   3   1  22 234 190 248  16  10  15
   1  55  55   1  33   2   1 102  48 123  26  75  34 300  56   1  51  53
   1  38   5   3  83  49  12   1   3  11   9  20   2 358  11   5 278   2
 128  55   1  19 107   1  44  55 315  19   2  10 117 236   1 233  37 115
   6   1   1 522 226 112 154 222 391   1 296  89   1 203  37  91   1  71
 131   1   1   7  97  56  94   4   3  85   6  21   2  35 307  24 265   1
  15   7 247 259   1 136 286  31   1   6  11 342   1   1  15   4  99 646
  12  11  31 572  36 129  12   4   4   2   1  44]",6.072249249830119
128,2,0.401024982093892,0.48448055948126256,-24758.12,48.37,"[ 11   1  37  27   1   4  17 303  68  14  14  31   4  54  76  57   2   1
   3  23  28 127  18   4  42  71 121  17  41 237  11   6   1  30   1  98
  13   1  48 242   1  30   1  33  57  22   1   7  46  86  11 156   2  29
   1   8   1  66  25   1  32  36  24   3  34   2   1  15   2  50 119  30
  44  75  30  60 113   3   1  87  99  59  56  11 145  42   4 310  34   4
 117   4   5   8  18  44  55 107  70  26   5  18 120 105  58  15   1  94
   5  49 122  15   4  11   5   3   3  14  24 315  10  15  18  18  38   3
   1   1   1 240  17  36  17   8  56  24  50  33  42   5 247   6  63   1
   4  44  44   1  16   9   1  34   1  78  75 108   6  21   4 118  15  19
   6   9  18   3   7   1   3  42   7 233   7   1   2  18   4   7  21   3
   1  16  66  43   1   5   3   2  33  27   1   2  18  13 370 152  54  22
   1 101  59  10  55   5   9   3  19 123 218   5  47  16  14  10   2  14
   1 355  24 530   1   1 138   1  44 100 449  20 141 132  20   1   5   1
   5 107   9  37   4 145  14  11  56   5  22  57  15   9 147  31   3  76
   7   9 333 295 112   1   1  40  49   5   1  14 197  33  19  88  18 129
  11  16  11  10  90  16  34  29   2 131  68   4   1   3   3   3  86   5
   2 249   8  77  28 151   3  12 212   1   6 237]",4.536465244456117
128,2,0.3966181141587943,0.17230097401426528,-24355.1,44.13666666666666,"[ 73  23  29  22  68   2 178   1  35 169   2 122   1   2   2   9   4  38
   5  99 109  13  65  96  10  55  29  30 395   2  34   5   6 132   1   2
   1 326  20   7  27   7   1  74   4  25 253   1   1  18   1   1 181 208
   1   3   2  28  88 167   4 181  51   3   3   1   1  39   3   9  26  30
   1  75   2 505 109   9 182  23   8   2  13   4  36   1   3   2   5  28
  33   2  36  33   2   1  48  58  16 408  69   4   1  11  72  36   1   7
  17   3   3  48  43  97  48  89 200  11   2   2   1   1   9 102   2   1
   1 151   4  10  13 162  13   2  99   1   3  64   1  38  27 107  92   3
  25   8  17   1   1   4 134 168   4 144  34  43  68 116 226  67  23   8
   3   1  52   1   1   4  89   1  10   1   2   4  20 175  15   2   9   6
   7   6   1   7  25   7   3   4 210   1 109   5   1  23  18   1  22   2
  82   1   1 161   2  42  64  88  49   4   5  69   3  82   2  11   1   9
   3   3   4 107  10 199  26   4   4 307   7  81  12   3 141  60   2  31
   3  82  12  47  21  88  13 119  21 111  31   3   8   2  14   1  23  13
  77  12  23  40  47   2   1   5  16   1 256   1  69  82   3  15   2  14
   1  43 102   2   2   1   1   8  22   1  44  92  14  12   2 298  31 106
  51   2 145  22  10  14  38   1   1 224  14  60]",3.887351256467019
